12 Retech Corp, E-motion
Meridian Waste Solutions Inc,
Merion Inc,
Midland States Bancorp Inc,
Motorola Solutions Inc, Avigilon Corporation
Motors Liquidation Co,
NET 1 UEPS TECHNOLOGIES INC, Bank Frick & Co AG
NEULION INC, Fortress Investment Group
NORTHSIGHT CAPITAL INC,
National Bank Holdings Corp, Peoples Inc
NeuroMetrix Inc,
NewBridge Global Ventures Inc, Elevated Portfolio Holdings LLC 
NightFood Holdings Inc, Rock and Wrap It Up!
No Borders Inc,
Noble Midstream Partners LP, Saddle Butte Rockies Midstream, LLC
Nodechain Inc, Ripple Mewe World Inc
NorthStar RXR New York Metro Real Estate Inc,
NorthStar Real Estate Income II Inc, NorthStar II OP 
NorthStar Real Estate Income Trust Inc, NorthStar I OP
OCEANFIRST FINANCIAL CORP, Sun Bancorp Inc
OIL STATES INTERNATIONAL INC, GD Development Corporation
OIL STATES INTERNATIONAL INC, LRP IV Luxembourg Holdings S.A.R.L.
OIL STATES INTERNATIONAL INC, Oakall Management Limited
OIL STATES INTERNATIONAL INC, GEODynamics Partners LLC
Oasis Petroleum Inc, Forge
One Horizon Group Inc, C-Rod, Inc
Owens Corning, Parry Investment S.A.
PENN VIRGINIA CORP, Hunt Oil Company
PHASERX INC,
PLEDGE PETROLEUM CORP, Norma Investments Limited 
PLURISTEM THERAPEUTICS INC,
POSITIVEID Corp,
POTASH CORP OF SASKATCHEWAN INC, Agrium Inc
POTLATCH CORP,
PROOFPOINT INC,
Pangaea Logistics Solutions Ltd,
Paragon Commercial CORP, TB Acquisition LLC
Park Place Energy Inc,
Pattern Energy Group Inc, Green Power Investment Corporation
PetIQ Inc, VIP
PetLife Pharmaceuticals Inc, Healthy Life Pets LLC
Petrolia Energy Corp, Bow Energy Ltd 
Pivot Pharmaceuticals Inc, ERS Holdings LLC
Post Holdings Inc, Bob Evans Farms Inc
Probility Media Corp,
Processa Pharmaceuticals Inc,
Purple Innovation Inc,
QUIDEL CORP DE,
Quintana Energy Services Inc,
Quotient Ltd,
REGAL ENTERTAINMENT GROUP,
RENTECH INC,
REPROS THERAPEUTICS INC,
RITE AID CORP, Walgreens Boots Alliance Inc
ROCKET PHARMACEUTICALS INC,
RODIN GLOBAL PROPERTY TRUST INC, Cantor Fitzgerald Investors LLC
ROYALE ENERGY FUNDS INC, Matrix
ROYALE ENERGY FUNDS INC, New Royale
ROYALE ENERGY FUNDS INC, Royale Merger Sub
ROYALE ENERGY FUNDS INC, Matrix Merger Sub
RW HOLDINGS NNN REIT INC, Reasons Aviation LLC
Rangers Sub I LLC FelCor Lodging LP
Red Lion Hotels CORP, Kaidan Hospitality LP
Red Violet Inc, Cogint Inc
Reliant Bancorp Inc, Community First Inc
Resource Apartment REIT III Inc,
Reven Housing REIT Inc, A&J Investments LLC
RigNet Inc, Intelie
Riot Blockchain Inc, Prive Technologies LLC
Royale Energy Inc, Matrix
Royale Energy Inc, New Royale
Royale Energy Inc, Royale Merger Sub
Royale Energy Inc, Matrix Merger Sub
SANDY SPRING BANCORP INC, WashingtonFirst Bankshares Inc
SCIENTIFIC GAMES CORP,
SEATTLE GENETICS INC WA, Cascadian Therapeutics Inc
SELECT MEDICAL HOLDINGS CORP SELECT MEDICAL CORP,
SELLAS Life Sciences Group Inc, Sellas Life Sciences Group Ltd
SEMPRA ENERGY, Energy Future Holdings Corp
SHARING ECONOMY INTERNATIONAL INC, 3D Discovery Co Limited
SHILOH INDUSTRIES INC, Brabant Alucast Services B.V.
SIEBERT FINANCIAL CORP, StockCross
SIGMA DESIGNS INC,  Silicon Solution Inc
SILVER HILL MINES INC,
SILVER SPRING NETWORKS INC,
SITESTAR CORP, Mt. Melrose LLC
SNYDER S LANCE INC, Campbell and Twist Merger Sub Inc
SPAR GROUP INC, Resource Plus Inc
SPENDSMART NETWORKS INC,
STANDARD DIVERSIFIED OPPORTUNITIES INC, Interboro Holdings Inc
STANLEY FURNITURE CO INC,
STARBUCKS CORP, Uni-President Enterprises Corporation
STARBUCKS CORP, President Chain Store Corporation
STEEL PARTNERS HOLDINGS L P,
SUN BANCORP INC NJ, OceanFirst Financial Corp
SUSSEX BANCORP, Community Bank of Bergen County NJ
Scripps Networks Interactive Inc,
SemGroup Corp, SemMexico L.L.C.
SemGroup Corp, Ergon Asfaltos Mexico HC LLC
SemGroup Corp, Ergon Mexico HC LLC
SemGroup Corp, Ergon Asphalt & Emulsions Inc
Silver Run Acquisition Corp II,
Sleepaid Holding Co,
Spectrum Global Solutions Inc, ADEX Corp
Spectrum Global Solutions Inc, ADEX Puerto Rico
Spectrum Global Solutions Inc, ADEXCOMM
Steadfast Income REIT Inc, BREIT LP
Steadfast Income REIT Inc, BREIT GP
Straight Path Communications Inc, Waves Merger Sub I Inc
Sucampo Pharmaceuticals Inc, American Stock Transfer & Trust Company LLC
Summit Healthcare REIT Inc, HMG Park Manor of Friendswood LLC
Sunoco LP,
Sunshine Bancorp Inc,
TAURIGA SCIENCES INC, Blink Charging Co
TECOGEN INC,
TENET HEALTHCARE CORP, Hahnemann University Hospital
TENET HEALTHCARE CORP, St. Christopher's Hospital for Children
TENGASCO INC,
TIPTREE INC, Invesque and Invesque Holdings LP
TMSR HOLDING Co Ltd,
TOTAL SYSTEM SERVICES INC, Cayan and PCP
TRIMBLE INC, e-Builder
TRON Group Inc, Talk Focus Sdn Bhd
Tallgrass Energy GP LP,
Tempus Applied Solutions Holdings Inc,
Terra Tech Corp,
Time Inc, Computershare Trust Company N.A.
TimefireVR Inc, Company and Mitchell Saltz
UFP TECHNOLOGIES INC,
UNITED FIRE GROUP INC, Kuvare US Holdings Inc
US VR Global com Inc,
Union Bankshares Corp, Xenith Bankshares Inc
Upland Software Inc, PowerSteering Software Limited
UpperSolution com, Analog Nest
VALHI INC DE, JFL-WCS Partners LLC 
VALLEY NATIONAL BANCORP, USAmeriBancorp Inc
VEREIT Inc VEREIT Operating Partnership L P, CCA Acquisition LLC
VIAVI SOLUTIONS INC, AvComm and Wireless Test and Measurement businesses of Cobham plc
VIKING ENERGY GROUP INC,
VIRTUSA CORP,
Vaxart Inc
Vectrus Inc,
Vegalab Inc, The Agronomy Group LLC
Vican Resources Inc,
Vitaxel Group Ltd, Grande Legacy Inc
WASHINGTON REAL ESTATE INVESTMENT TRUST,
WD 40 CO,
WESTMOUNTAIN Co, WASM Acquisition Corp
WILLIAM LYON HOMES, alifornia Lyon, RSI Communities RS Equity Management LLC
WPX ENERGY INC,
Walker Lane Exploration Inc, SJE Mining LLC
WashingtonFirst Bankshares Inc, Sandy Spring Bancorp Inc
Wheeler Real Estate Investment Trust Inc,
Worldpay Inc, Vantiv UK Limited
Xenith Bankshares Inc, Union Bankshares Corporation
XpresSpa Group Inc, oute1 Security Corporation
YuMe Inc, RhythmOne plc
pSivida Corp,
tronc Inc,
