SMAAASH ENTERTAINMENT INC,
SMARTFINANCIAL INC,Foothills Bancorp Inc.
SMG Industries Inc,Madden Heritage Foundation, Steven Madden, Thomas Soriero
Social Life Network Inc,
SolarEdge Technologies Inc,
SONIC CORP,
SONOCO PRODUCTS CO,Conitex Sonoco (BVI) Ltd
SOUTH JERSEY INDUSTRIES INC,Marina Energy LLC
SOUTHERN POWER CO,700 Universe LLC
SOUTHWESTERN ENERGY CO,Flywheel Energy Operating LLC
SP Plus Corp,
Spectra Energy Partners LP,Spectra Energy Partners LP
Sphere 3D Corp,
Spirit of Texas Bancshares Inc,Spirit of Texas Bancshares Inc.,Comanche National Corporation
SS C Technologies Holdings Inc,Impala Private Holdings II LLC
Strategic Realty Trust Inc,
Strategic Storage Trust IV Inc,
Strongbridge Biopharma plc,
K2M Group Holdings Inc,STRYKER CORP
SUNLINK HEALTH SYSTEMS INC,
SUNPOWER CORP,
SUPERVALU INC,
SYNNEX CORP,Convergys Corporation
SYNTEL INC,Parent and Green Merger Sub Inc.
Tabula Rasa HealthCare Inc,
TACTILE SYSTEMS TECHNOLOGY INC,
Taylor Morrison Home Corp,AV Homes
TEMPUR SEALY INTERNATIONAL INC,Bed Time S.A.
Terra Tech Corp,
theMaven Inc,SM Acquisition Co. Inc.,Say Media Inc.
Theravance Biopharma Inc,
TIDEWATER INC,GulfMark
TIMBERLAND BANCORP INC,
TMSR HOLDING Co Ltd,
TRANSCONTINENTAL REALTY INVESTORS INC,
TRANSENTERIX INC,MST Medical Surgery Technologies Ltd
TRAVELCENTERS OF AMERICA LLC,EG Retail (America) LLC, EG Group Limited
TRINITY INDUSTRIES INC,
Tropicana Entertainment Inc,
TrueCar Inc,
TRXADE GROUP INC,
TWENTY FIRST CENTURY FOX INC,Comcast Corporation
TYSON FOODS INC,
U S WELL SERVICES INC,
UNIPROP MANUFACTURED HOUSING COMMUNITIES INCOME FUND II MI,West Valley
UNITED NATURAL FOODS INC,
UNITED RENTALS INC DE UNITED RENTALS NORTH AMERICA INC,Vander Holding Corporation,UR Merger Sub V Corporation,Platinum Equity Advisors LLC
United Royale Holdings Corp,IVED
UNITED TECHNOLOGIES CORP DE,Riveter Merger Sub Corp.Rockwell Collins Inc. 
UNIVERSAL LOGISTICS HOLDINGS INC,
Upland Software Inc,PowerSteering UK, Rant & Rave
URANIUM ENERGY CORP,Uranium Royalty Corp.
US Alliance Corp,Great Western Life Insurance Company
US ECOLOGY INC,Ecoserv LLC
US Highland Inc,
USA TRUCK INC,
VERINT SYSTEMS INC,ForeSee Results Inc.
VERRA MOBILITY Corp,
VIKING ENERGY GROUP INC,Ichor Energy LLC
Vitality Biopharma Inc,
VONAGE HOLDINGS CORP,NewVoiceMedia Limited
Vortex Blockchain Technologies Inc,
W P Carey Inc,
Waitr Holdings Inc,
Warner Music Group Corp,E.M.P. Merchandising Handelsgesellschaft mbH
Weatherford International plc,ADES International Holding Ltd.
WEB COM GROUP INC,
WestRock Co,KapStone
WINDTREE THERAPEUTICS INC DE,
Wright Medical Group N V,Cartiva Inc.
WRKCo Inc,
WSI INDUSTRIES INC,
XERIUM TECHNOLOGIES INC,XYZ Merger Sub Inc.
XO GROUP INC,
ZAGG Inc,Gear4
ZEV VENTURES INC,Ondas
ZIONS BANCORPORATION NATIONAL ASSOCIATION UT,
Zoe s Kitchen Inc,
Zoompass Holdings Inc,
