1ST CONSTITUTION BANCORP,New Jersey Community Bank
SIGMA DESIGNS INC,V-Silicon International Inc.,V-Silicon Inc.
SILICON LABORATORIES INC,Champion Holdings
SilverSun Technologies Inc,
Skyline Champion Corp,
SM Energy Co,Petro-Hunt L.L.C.
SMART Global Holdings Inc,
Smart Sand Inc,Quickthree Solutions Inc.
SMARTFINANCIAL INC,Tennessee Bancshares Inc.
Solis Tek Inc NV,
Spark Therapeutics Inc,Jazz Pharmaceuticals Ireland Limited
Spirit MTA REIT,Spirit Realty L.P.
SPRINGLEAF FINANCE CORP,
SS C Technologies Holdings Inc,DST Systems Inc.
Staffing Group Ltd,
Steadfast Income REIT Inc,SIR Jefferson LLC
STWC Holdings Inc,
SUN HYDRAULICS CORP,Polyusus Lux IV S. r.l.
SUPERIOR UNIFORM GROUP INC,
Surge Holdings Inc,True Wireless Inc.,TW Acquisition Corporation
Teladoc Inc,
TerraForm Power Inc,Saeta Yield
THESTREET INC,S&P
TIME WARNER LLC,AT&T
TIPTREE INC,
TMSR HOLDING Co Ltd,
TopBuild Corp,
TOWN SPORTS INTERNATIONAL HOLDINGS INC,TW Holdings Inc.,SPAD Holdings LLC,TW Glendale Inc.,TW Westlake Village Inc.,Total Woman Franchising Inc
TRANS WORLD CORP,FEC Overseas Investment (UK) Limited,FEC Investment (US) Limited,Far East Consortium International Limited
Trinity Place Holdings Inc,Adam America Equities LLC.
tronc Inc,ForSaleByOwner.com LLC,Tribune Publishing Company LLC,In-House Realty LLC
TTM TECHNOLOGIES INC,Anaren Holdings LLC,Anaren Holding Corp.
U S SILICA HOLDINGS INC,EP Acquisition Parent Inc.
UNIT CORP,SP Investor Holdings LLC
URANIUM ENERGY CORP,Uranerz Energy Corporation
US GEOTHERMAL INC,Ormat Nevada Inc.
US VR Global com Inc,US VR Global Inc.
USA Compression Partners LP,
VANJIA CORP,
VASCO DATA SECURITY INTERNATIONAL INC,Dealflo
Vistra Energy Corp,Dynegy
VIVUS INC,
Voltari Corp,The State Media Company
Voya Financial Inc,Voya Insurance and Annuity Company,Directed Services LLC
Vystar Corp,
W R GRACE CO,Albemarle Corporation
WECONNECT Tech International Inc,MIG Mobile Tech Berhad
WestMountain Alternative Energy Inc,
WESTWATER RESOURCES INC,Alabama Graphite Corp.
WildHorse Resource Development Corp,Tanos Energy Holdings III LLC
Willbros Group Inc NEW,
Winthrop Realty Liquidating Trust,701 Seventh Property Owner LLC,701 Sign LLC
WisdomTree Investments Inc,ETFS
Woodward Inc,MTU America Inc.
Writ Media Group Inc,Bison Crypto Power Corporation
Wyndham Destinations Inc,
WYNDHAM HOTELS RESORTS INC,
WYNDHAM WORLDWIDE CORP,
XINDA INTERNATIONAL CORP,
ZAIS Group Holdings Inc,ZGH Merger Sub Inc.,Z Acquisition LLC
ZENERGY BRANDS INC,Enertrade Electric LLC,Luccirelli & Gomez LLC,TCN Holdings LLC
ZIX CORP,CM2.COM Inc.
Zoompass Holdings Inc,Fintech Holdings North America Inc.
